college,category,course,duration,indicative_annual_fee_inr,eligibility,required_documents,application_deadline,seats
Government Engineering College Thrissur,Engineering,B.Tech Electrical and Electronics Engineering,4 years,61000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
Government Engineering College Thrissur,Engineering,B.Tech Information Technology,4 years,63000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
"TKM College of Engineering, Kollam",Engineering,B.Tech Computer Science and Engineering,4 years,69500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
"TKM College of Engineering, Kollam",Engineering,B.Tech Electronics and Communication Engineering,4 years,66500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
"TKM College of Engineering, Kollam",Engineering,B.Tech Mechanical Engineering,4 years,62500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
"TKM College of Engineering, Kollam",Engineering,B.Tech Civil Engineering,4 years,59500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
"Model Engineering College, Kochi",Engineering,B.Tech Electronics and Communication Engineering,4 years,68000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
"Model Engineering College, Kochi",Engineering,B.Tech Mechanical Engineering,4 years,64000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
"Model Engineering College, Kochi",Engineering,B.Tech Civil Engineering,4 years,61000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
"Model Engineering College, Kochi",Engineering,B.Tech Electrical and Electronics Engineering,4 years,64000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
"Rajagiri School of Engineering & Technology, Kochi",Engineering,B.Tech Mechanical Engineering,4 years,65500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
"Rajagiri School of Engineering & Technology, Kochi",Engineering,B.Tech Civil Engineering,4 years,62500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
"Rajagiri School of Engineering & Technology, Kochi",Engineering,B.Tech Electrical and Electronics Engineering,4 years,65500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
"Rajagiri School of Engineering & Technology, Kochi",Engineering,B.Tech Information Technology,4 years,67500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
"Government Engineering College Barton Hill, Trivandrum",Engineering,B.Tech Computer Science and Engineering,4 years,74000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
"Government Engineering College Barton Hill, Trivandrum",Engineering,B.Tech Electronics and Communication Engineering,4 years,71000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
"Government Engineering College Barton Hill, Trivandrum",Engineering,B.Tech Mechanical Engineering,4 years,67000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
"Government Engineering College Barton Hill, Trivandrum",Engineering,B.Tech Civil Engineering,4 years,64000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
Cochin University of Science and Technology (CUSAT),Engineering,B.Tech Electronics and Communication Engineering,4 years,72500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
Cochin University of Science and Technology (CUSAT),Engineering,B.Tech Mechanical Engineering,4 years,68500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
Cochin University of Science and Technology (CUSAT),Engineering,B.Tech Civil Engineering,4 years,65500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
Cochin University of Science and Technology (CUSAT),Engineering,B.Tech Electrical and Electronics Engineering,4 years,68500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
"Mar Athanasius College of Engineering, Kothamangalam",Engineering,B.Tech Mechanical Engineering,4 years,70000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
"Mar Athanasius College of Engineering, Kothamangalam",Engineering,B.Tech Civil Engineering,4 years,67000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
"Mar Athanasius College of Engineering, Kothamangalam",Engineering,B.Tech Electrical and Electronics Engineering,4 years,70000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
"Mar Athanasius College of Engineering, Kothamangalam",Engineering,B.Tech Information Technology,4 years,72000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
Government Engineering College Kannur,Engineering,B.Tech Computer Science and Engineering,4 years,78500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
Government Engineering College Kannur,Engineering,B.Tech Electronics and Communication Engineering,4 years,75500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
Government Engineering College Kannur,Engineering,B.Tech Mechanical Engineering,4 years,71500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
Government Engineering College Kannur,Engineering,B.Tech Civil Engineering,4 years,68500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
"Government Medical College, Thiruvananthapuram",Medical,MBBS,5.5 years,25000,"Pass in +2 (Science) with Physics, Chemistry, Biology; minimum 50% aggregate; valid NEET-UG score above the qualifying cutoff","+2 marksheet, NEET scorecard and rank letter, transfer certificate, conduct certificate, community/income certificate (if applicable), 4 passport photos, Aadhaar copy, medical fitness certificate",10 June,200
"Government Medical College, Kozhikode",Medical,MBBS,5.5 years,25000,"Pass in +2 (Science) with Physics, Chemistry, Biology; minimum 50% aggregate; valid NEET-UG score above the qualifying cutoff","+2 marksheet, NEET scorecard and rank letter, transfer certificate, conduct certificate, community/income certificate (if applicable), 4 passport photos, Aadhaar copy, medical fitness certificate",10 June,180
"Government Medical College, Kottayam",Medical,MBBS,5.5 years,25000,"Pass in +2 (Science) with Physics, Chemistry, Biology; minimum 50% aggregate; valid NEET-UG score above the qualifying cutoff","+2 marksheet, NEET scorecard and rank letter, transfer certificate, conduct certificate, community/income certificate (if applicable), 4 passport photos, Aadhaar copy, medical fitness certificate",10 June,150
"Government Medical College, Thrissur",Medical,MBBS,5.5 years,25000,"Pass in +2 (Science) with Physics, Chemistry, Biology; minimum 50% aggregate; valid NEET-UG score above the qualifying cutoff","+2 marksheet, NEET scorecard and rank letter, transfer certificate, conduct certificate, community/income certificate (if applicable), 4 passport photos, Aadhaar copy, medical fitness certificate",10 June,150
"Amrita Institute of Medical Sciences, Kochi",Medical,MBBS,5.5 years,2450000,"Pass in +2 (Science) with Physics, Chemistry, Biology; minimum 50% aggregate; valid NEET-UG score above the qualifying cutoff","+2 marksheet, NEET scorecard and rank letter, transfer certificate, conduct certificate, community/income certificate (if applicable), 4 passport photos, Aadhaar copy, medical fitness certificate",20 June,100
"Believers Church Medical College, Thiruvalla",Medical,MBBS,5.5 years,2200000,"Pass in +2 (Science) with Physics, Chemistry, Biology; minimum 50% aggregate; valid NEET-UG score above the qualifying cutoff","+2 marksheet, NEET scorecard and rank letter, transfer certificate, conduct certificate, community/income certificate (if applicable), 4 passport photos, Aadhaar copy, medical fitness certificate",20 June,100
"Government Dental College, Thiruvananthapuram",Medical,BDS,5 years,25000,"Pass in +2 (Science) with Physics, Chemistry, Biology; minimum 50% aggregate; valid NEET-UG score above the qualifying cutoff","+2 marksheet, NEET scorecard and rank letter, transfer certificate, conduct certificate, community/income certificate (if applicable), 4 passport photos, Aadhaar copy, medical fitness certificate",10 June,60
"Government Ayurveda College, Thiruvananthapuram",Medical,BAMS,5.5 years,22000,"Pass in +2 (Science) with Physics, Chemistry, Biology; minimum 50% aggregate; valid NEET-UG score above the qualifying cutoff","+2 marksheet, NEET scorecard and rank letter, transfer certificate, conduct certificate, community/income certificate (if applicable), 4 passport photos, Aadhaar copy, medical fitness certificate",12 June,100
"Government Homeopathic Medical College, Kozhikode",Medical,BHMS,5.5 years,20000,"Pass in +2 (Science) with Physics, Chemistry, Biology; minimum 50% aggregate; valid NEET-UG score above the qualifying cutoff","+2 marksheet, NEET scorecard and rank letter, transfer certificate, conduct certificate, community/income certificate (if applicable), 4 passport photos, Aadhaar copy, medical fitness certificate",12 June,100
"Kerala University of Health Sciences College of Nursing, Thrissur",Medical,B.Sc Nursing,4 years,45000,"Pass in +2 (Science) with Physics, Chemistry, Biology; minimum 45% aggregate; valid NEET-UG score above the qualifying cutoff","+2 marksheet, NEET scorecard and rank letter, transfer certificate, conduct certificate, community/income certificate (if applicable), 4 passport photos, Aadhaar copy, medical fitness certificate",18 June,60
"Government College of Pharmaceutical Sciences, Kozhikode",Medical,B.Pharm,4 years,30000,"Pass in +2 (Science) with Physics, Chemistry, Maths or Biology; minimum 50% aggregate; valid KEAM rank","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
"Mar Athanasius College, Kothamangalam",Other,B.Com,3 years,18000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"Mar Athanasius College, Kothamangalam",Other,B.Sc Computer Science,3 years,22000,50% aggregate in +2 with Mathematics,"SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"St. Teresa's College, Ernakulam",Other,B.A. English Literature,3 years,16000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"St. Teresa's College, Ernakulam",Other,B.Sc Psychology,3 years,20000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"Union Christian College, Aluva",Other,B.Com,3 years,17000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"Union Christian College, Aluva",Other,BBA,3 years,26000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"Maharaja's College, Ernakulam",Other,B.A. Economics,3 years,8000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"Maharaja's College, Ernakulam",Other,B.Sc Physics,3 years,9000,"50% aggregate in +2 with Physics, Chemistry, Maths","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"St. Joseph's College Devagiri, Kozhikode",Other,B.Com,3 years,15000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"St. Joseph's College Devagiri, Kozhikode",Other,B.Sc Chemistry,3 years,16000,"50% aggregate in +2 with Physics, Chemistry, Maths/Biology","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"Christ College, Irinjalakuda",Other,B.Com,3 years,19000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"Sacred Heart College, Thevara",Other,B.A. English Literature,3 years,17000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"Government Law College, Thiruvananthapuram",Other,BA LLB (5 years),5 years,12000,"45% aggregate in +2, any stream; valid CLAT/LSAT-India or state entrance score","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"Government Law College, Ernakulam",Other,BA LLB (5 years),5 years,12000,"45% aggregate in +2, any stream; valid CLAT/LSAT-India or state entrance score","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"St. Xavier's College for Women, Aluva",Other,BBA,3 years,24000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
"Government Arts College, Thiruvananthapuram",Other,B.A. History,3 years,6000,"45% aggregate in +2, any stream","SSLC/10th certificate, +2 marksheet, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",30 June,40
